"search-number","evaluation","number-of-leaves*","wind-factor*","temperature*","rain-intensity*","sun-intensity*","start-sugar-mean*","start-sugar-stddev*","leaf-display-mode*","num-replicates","best-fitness-so-far"
"1","3","2377","2","9","8","41","55","22","""attachedness""","3","0"
"1","6","1574","1","21","20","80","84","26","""attachedness""","3","254.66666666666666"
"1","12","820","0","14","0","0","24","50","""chlorophyll""","3","816"
"1","15","2461","4","23","4","27","69","14","""sugar""","3","1349.3333333333333"
"1","117","2067","0","16","24","95","70","4","""solid""","3","2006.3333333333333"
"1","171","2067","0","16","24","95","37","16","""anthocyanin""","3","2065"
